asn,handle,description
132,WPAFB-CSD-NET-AS,"Air Force Systems Networking"
133,AFIT-AS,"Air Force Systems Networking"
134,CORONA-GW-AS,"Fleet Analysis Center"
135,DNIC-AS-00135,"United States Department of Defense (DoD)"
136,AF-ASN-136,"Air Force Systems Networking"
137,ASGARR,"Consortium GARR"
138,DNIC-AS-00138,"United States Department of Defense (DoD)"
139,DNIC-AS-00139,"Navy Network Information Center (NNIC)"
140,DNIC-AS-00140,"United States Department of Defense (DoD)"
141,DNIC-AS-00141,"Navy Network Information Center (NNIC)"
142,DNIC-AS-00142,"Headquarters USAISC"
143,OOG1-AS,1881CS/XPC
144,ATT-INTERNET,"Lucent Technologies/Bell Laboratories"
145,VBNS,"Verizon Business"
146,HQEIS-AS,"Air Force Systems Networking"
147,DNIC-AS-00147,"United States Department of Defense (DoD)"
148,DNIC-AS-00148,"Navy Network Information Center (NNIC)"
149,DNIC-AS-00149,"United States Department of Defense (DoD)"
150,DNIC-AS-00150,"United States Department of Defense (DoD)"
151,HPINC-EMEA,"HP Inc"
152,SRI-ACCATT-AS,"SRI International"
153,CTNOSC-ASN-153,"Headquarters USAISC"
154,DNIC-AS-00154,"Headquarters USAISC"
155,DNIC-AS-00155,"United States Department of Defense (DoD)"
156,NORTHEASTERN-GW-AS,"Northeastern University"
157,HPE-15,"HEWLETT PACKARD ENTERPRISE COMPANY"
158,ERI-AS,"Ericsson Inc"
159,OSUNET-AS,"Ohio State University"
160,U-CHICAGO-AS,"The University of Chicago"
161,TI-AS,"Texas Instruments Incorporated"
162,DNIC-AS-00162,"Navy Network Information Center (NNIC)"
163,IBM-RESEARCH-AS,IBM
164,DNIC-AS-00164,"United States Department of Defense (DoD)"
165,DNIC-AS-00165,"United States Department of Defense (DoD)"
166,IDA-AS,"Institute for Defense Analyses"
167,WESLEYAN-AS,"Wesleyan University"
168,UMASS-AMHERST,"University of Massachusetts - AMHERST"
169,HANSCOM-NET-AS,"Air Force Systems Networking"
